city,country,lat,lon,temp,temp_max,windspeed,cloudall,humidity
tungor,RU,53.3808,142.9564,43.59,43.59,8.84,100,86
nioro,GM,13.35,-15.75,78.49,78.49,5.75,98,85
nicoya,CR,10.1483,-85.452,85.55,85.55,2.19,89,83
byron bay,AU,-28.65,153.6167,67.98,74.05,15.1,6,67
kutum,SD,14.2,24.6667,78.15,78.15,10.71,100,15
libreville,GA,0.3925,9.4537,77.02,77.02,5.75,40,94
matara,LK,5.9485,80.5353,79.14,79.14,10.58,100,86
los llanos de aridane,ES,28.6585,-17.9182,67.12,69.55,18.41,0,89
juneau,US,58.3019,-134.4197,45.37,48.25,13.8,90,92
mineiros,BR,-17.5694,-52.5511,84.79,84.79,6.71,79,33
mehran,IR,33.1222,46.1646,71.08,71.08,9.08,0,11
doctor juan manuel frutos,PY,-25.3667,-55.8,67.23,67.23,4.74,100,98
henties bay,NA,-22.116,14.2845,57.85,57.85,4.61,0,79
berlevag,NO,70.8578,29.0864,38.37,38.37,6.06,100,94
sattahip,TH,12.6664,100.9007,81.34,83.98,6.91,20,83
suruc,TR,36.9761,38.425,71.8,71.8,2.8,0,21
san pedro de macoris,DO,18.4616,-69.2972,87.87,90.21,8.3,3,75
nelson bay,AU,-32.7167,152.15,70.56,72.28,8.86,17,63
hirara,JP,24.8,125.2833,82.51,82.51,23.69,3,79
tirumullaivasal,IN,11.2333,79.8333,77.86,77.86,9.33,100,85
ballina,AU,-28.8667,153.5667,68.74,69.76,9.22,5,83
cairns,AU,-16.9167,145.7667,78.01,79.11,8.05,40,78
ponta delgada,PT,37.7333,-25.6667,70.52,70.52,10.36,40,83
kachug,RU,53.9606,105.8817,32.47,32.47,3.11,85,82
kushiro,JP,42.975,144.3747,57.36,57.36,13.62,59,84
gelibolu,TR,40.4103,26.6708,62.46,62.46,15.1,100,87
korla,CN,41.7597,86.1469,44.47,44.47,1.7,5,46
nyagan,RU,62.1406,65.3936,30.11,30.11,7.78,12,72
berdigestyakh,RU,62.0989,126.6992,30.74,30.74,8.57,100,89
auki,SB,-8.7676,160.7034,83.66,83.66,1.39,100,67
rach gia,VN,10.0167,105.0833,76.95,76.95,15.93,100,82
gornopravdinsk,RU,60.05,69.9,32.47,32.47,6.73,87,86
ilula,TZ,-7.6766,36.0366,60.75,60.75,5.77,55,85
port hawkesbury,CA,45.6169,-61.3485,49.86,53.19,3.0,1,64
nieuwpoort,BE,51.1244,2.7735,49.24,54.01,2.3,70,100
walvis bay,NA,-22.9575,14.5053,56.35,58.08,8.05,0,82
birao,CF,10.2849,22.7882,77.45,77.45,4.65,78,40
akdepe,TM,42.0551,59.3788,37.49,41.0,8.19,4,59
isangel,VU,-19.55,169.2667,77.11,77.11,5.75,20,73
gazojak,TM,41.1875,61.4036,45.3,45.3,8.7,1,58
xuddur,SO,4.1213,43.8894,73.71,73.71,12.06,90,80
port lincoln,AU,-34.7333,135.8667,53.26,53.26,9.1,100,57
uvinza,TZ,-5.1036,30.3911,74.43,74.43,1.99,74,49
kargala,RU,56.6208,83.9607,40.01,40.03,5.26,100,90
pitimbu,BR,-7.4706,-34.8086,73.99,73.99,11.21,84,78
yumen,CN,40.2833,97.2,33.78,33.78,6.46,0,31
beloha,MG,-25.1667,45.05,68.02,68.02,4.7,1,77
male,MV,4.1748,73.5089,84.15,84.15,10.36,75,84
maraa,BR,-1.8333,-65.3667,78.06,78.06,2.98,98,86
vadso,NO,70.0744,29.7487,40.08,40.08,5.3,100,92
pringsewu,ID,-5.3582,104.9744,74.21,74.21,2.8,32,96
geraldton,AU,-28.7667,114.6,43.21,43.21,5.75,0,87
faya,SA,18.3851,42.4509,64.92,68.11,10.25,7,45
kamenka,RU,51.3223,42.7678,40.98,40.98,6.58,31,69
panaba,MX,21.2833,-88.2667,87.85,87.85,13.02,73,58
iberia,US,29.9502,-91.7507,84.96,87.1,3.44,75,58
quattro castella,IT,44.635,10.4743,52.79,55.69,2.53,15,74
viransehir,TR,37.2353,39.7631,70.86,70.86,6.58,3,22
rantauprapat,ID,2.1,99.8333,73.72,73.72,1.39,75,96
stornoway,GB,58.2093,-6.3865,49.48,53.92,5.75,75,87
peniche,PT,39.3558,-9.3811,60.57,65.62,9.51,42,91
itoman,JP,26.1247,127.6694,82.42,82.42,10.36,40,78
surt,LY,31.2089,16.5887,76.24,76.24,18.1,77,77
sibu,MY,2.3,111.8167,73.9,73.9,1.34,85,97
itororo,BR,-15.1169,-40.0703,71.4,71.4,3.74,100,89
sobolevo,RU,54.4299,31.8996,38.41,38.41,0.45,31,75
luderitz,NA,-26.6481,15.1594,63.9,63.9,14.05,76,55
natal,BR,-5.795,-35.2094,80.82,81.25,12.66,20,78
fort nelson,CA,58.8053,-122.7002,58.59,58.59,6.91,20,26
babu,CN,24.4167,111.5167,70.27,70.27,5.59,99,97
laupheim,DE,48.2333,9.8833,41.92,45.43,6.91,0,93
zhanakorgan,KZ,43.9098,67.2495,47.26,47.26,3.67,100,37
rawson,AR,-43.3002,-65.1023,71.08,71.08,19.82,0,28
tsaratanana,MG,-16.7833,47.65,67.57,67.57,8.77,49,68
san francisco,US,37.7749,-122.4194,69.93,76.3,4.0,1,47
nishihara,JP,26.1842,127.7558,81.68,81.68,10.36,40,78
milkovo,RU,54.7167,158.6167,37.58,37.58,6.69,38,63
narsaq,GL,60.9167,-46.05,34.02,34.02,4.83,6,55
hambantota,LK,6.1241,81.1185,79.14,79.14,4.61,100,100
miles city,US,46.4083,-105.8406,54.57,57.51,17.27,90,60
erzin,TR,36.9559,36.2,71.96,72.0,3.2,0,31
bell ville,AR,-32.6259,-62.6887,71.8,73.67,8.46,5,38
vanimo,PG,-2.6741,141.3028,79.75,79.75,5.14,38,88
lundazi,ZM,-12.2929,33.1782,73.15,73.15,9.28,0,39
yarada,IN,17.65,83.2667,81.28,81.28,4.38,21,81
tocopilla,CL,-22.092,-70.1979,66.27,66.27,14.2,17,64
nushki,PK,29.5542,66.0215,61.12,61.12,2.59,0,25
monrovia,LR,6.3005,-10.7969,76.77,76.77,8.03,96,85
roma,US,43.2128,-75.4557,65.44,68.85,16.11,1,64
grenaa,DK,56.4158,10.8783,45.01,48.85,11.41,100,73
borger,NL,52.9233,6.7931,45.36,48.81,5.82,76,90
chernenko,RU,44.365,39.3103,46.36,46.36,1.63,91,86
neryungri,RU,56.6709,124.6491,21.0,21.0,1.39,42,95
kjollefjord,NO,70.9457,27.3465,39.09,39.09,5.14,100,94
uarini,BR,-2.99,-65.1083,93.15,93.15,1.9,99,78
moustheni,GR,40.8667,24.1167,55.29,55.53,6.64,100,83
bonavista,CA,48.6499,-53.1147,39.2,45.12,35.61,39,78
norwich,GB,52.6278,1.2983,50.74,54.01,1.14,13,94
poum,NC,-20.2333,164.0167,74.01,74.01,11.43,12,62
tahta,EG,26.7693,31.5021,79.12,79.12,7.4,0,33
prince rupert,CA,54.3161,-130.3201,47.17,47.89,3.44,90,85
sawakin,SD,19.1059,37.3321,84.36,84.36,6.87,81,73
salinopolis,BR,-0.6136,-47.3561,79.72,79.72,12.64,75,83
san carlos de bariloche,AR,-41.1456,-71.3082,73.15,73.15,11.5,0,14
abu kamal,SY,34.4506,40.9171,75.56,75.56,3.22,0,18
teknaf,BD,20.8624,92.3058,78.57,78.57,3.47,17,90
porto santo,PT,33.072,-16.3415,70.18,71.51,12.66,40,73
kupang,ID,-10.1667,123.5833,76.89,76.89,2.8,69,77
black river,JM,18.0264,-77.8487,86.0,86.0,3.65,47,75
mirnyy,RU,62.5353,113.9611,34.77,34.77,13.56,100,96
necochea,AR,-38.5473,-58.7368,61.03,61.03,10.42,0,77
denpasar,ID,-8.65,115.2167,77.72,78.46,5.75,20,88
olafsvik,IS,64.8945,-23.7142,41.7,41.7,15.9,78,84
tuatapere,NZ,-46.1333,167.6833,53.82,53.82,4.81,50,52
general roca,AR,-39.0333,-67.5833,81.0,81.0,13.4,0,18
vila,PT,42.0304,-8.1588,54.93,57.94,4.27,96,85
yar-sale,RU,66.8333,70.8333,28.99,28.99,16.84,34,88
ndele,CF,8.4109,20.6473,74.61,74.61,2.66,100,73
murgab,TM,37.4966,61.9714,46.27,46.27,6.91,0,49
viedma,AR,-40.8135,-62.9967,71.47,71.47,13.11,0,29
oranjestad,AW,12.524,-70.027,89.55,89.55,14.97,20,62
aloleng,PH,16.1307,119.7824,79.93,79.93,3.2,100,84
