city,country,lat,lon,temp,temp_max,windspeed,cloudall,humidity
faanui,PF,-16.4833,-151.75,78.37,78.37,4.63,11,70
sioux lookout,CA,50.1001,-91.917,62.67,62.98,9.22,75,88
labuhan,ID,-6.8844,112.2051,77.59,77.59,8.63,68,80
kununurra,AU,-15.7667,128.7333,75.18,75.18,6.91,18,69
torbay,CA,47.6666,-52.7314,43.0,45.57,23.02,90,86
fort smith,US,35.3859,-94.3986,93.92,95.38,13.8,1,23
sambava,MG,-14.2667,50.1667,69.94,69.94,11.77,18,79
kodiak,US,57.79,-152.4072,53.11,53.11,16.11,90,47
udachnyy,RU,66.4167,112.4,33.06,33.06,9.15,100,99
sarangani,PH,5.4033,125.4636,84.15,84.15,18.57,100,76
upernavik,GL,72.7868,-56.1549,32.7,32.7,15.19,99,57
half moon bay,US,37.4636,-122.4286,69.93,75.51,8.05,1,50
college,US,64.8569,-147.8028,36.82,39.22,3.44,75,87
airai,TL,-8.9266,125.4092,61.56,61.56,1.97,97,45
mitsamiouli,KM,-11.3847,43.2844,76.26,76.26,12.28,8,81
saint-francois,FR,46.4154,3.9054,48.78,49.48,3.44,40,92
barela,IN,23.1,80.05,70.66,70.66,2.28,13,66
labytnangi,RU,66.6572,66.4183,27.99,27.99,12.93,9,76
parana,AR,-31.732,-60.5238,74.57,75.56,13.49,0,44
minab,IR,27.1467,57.0801,85.5,85.5,8.77,0,21
codrington,AU,-38.2667,141.9667,52.41,52.41,9.48,29,63
charters towers,AU,-20.1,146.2667,73.65,73.65,12.88,26,67
taoudenni,ML,22.6783,-3.9836,93.6,93.6,7.56,86,9
iwanai,JP,42.9744,140.5089,53.91,53.91,9.84,63,84
port hardy,CA,50.6996,-127.4199,50.18,50.18,14.97,90,93
taltal,CL,-25.4,-70.4833,61.74,61.74,5.77,16,62
sao miguel,BR,-5.4667,-35.3667,81.37,81.37,16.87,45,79
cockburn town,TC,21.4612,-71.1419,84.16,84.16,8.05,40,70
victor harbor,AU,-35.5667,138.6167,53.49,54.0,1.99,66,62
saskylakh,RU,71.9167,114.0833,6.82,6.82,2.95,100,99
namatanai,PG,-3.6667,152.4333,81.41,81.41,5.06,67,77
vila do maio,CV,15.1333,-23.2167,79.59,79.59,10.22,0,81
bathsheba,BB,13.2167,-59.5167,83.01,83.01,13.8,40,83
port blair,IN,11.6667,92.75,80.22,80.22,17.09,100,82
kisangani,CD,0.5167,25.2,74.41,74.41,2.51,88,83
chufarovo,RU,54.0963,47.3367,39.4,39.4,4.34,31,71
bardiyah,LY,31.7561,25.0865,74.64,74.64,10.25,0,57
hun,LY,29.1268,15.9477,78.73,78.73,11.5,1,18
turukhansk,RU,65.8167,87.9833,23.43,23.43,18.03,100,75
bristol,US,41.8334,-71.1662,59.86,62.01,4.0,98,78
iqaluit,CA,63.7506,-68.5145,34.7,35.33,2.3,90,93
aquiraz,BR,-3.9014,-38.3911,82.49,82.49,11.5,78,76
moose factory,CA,51.2585,-80.6094,67.98,69.8,6.91,90,83
fairview,US,40.8126,-73.999,65.08,67.53,8.05,90,75
yarensk,RU,62.1675,49.0916,32.29,32.29,1.92,81,85
berezovka,BY,53.7214,25.4993,39.65,39.65,3.51,0,82
souillac,MU,-20.5167,57.5167,71.98,72.36,14.97,75,83
ewa beach,US,21.3156,-158.0072,79.39,82.35,20.0,90,68
belyy yar,RU,53.6039,91.3903,44.49,44.49,11.18,0,61
mugur-aksy,RU,50.35,90.5,12.13,12.13,6.38,7,79
riyadh,SA,24.6877,46.7219,80.74,80.74,3.87,1,17
maniitsoq,GL,65.4167,-52.9,33.17,33.17,14.32,100,69
artsyz,UA,45.9919,29.4182,43.47,43.47,9.89,11,40
chara,RU,56.9064,118.2631,29.41,29.41,1.61,26,62
bambous virieux,MU,-20.3428,57.7575,71.85,72.21,14.97,75,83
nuuk,GL,64.1835,-51.7216,34.41,34.41,10.36,75,80
damietta,EG,31.4165,31.8133,75.09,75.09,9.62,0,66
valley,US,45.1277,-116.1262,44.76,45.21,5.23,58,45
itacare,BR,-14.2775,-38.9967,75.09,75.09,9.75,97,91
omutninsk,RU,58.67,52.1932,42.62,42.62,5.08,100,98
acapulco,MX,16.8634,-99.8901,87.62,87.62,8.05,75,74
karsava,LV,56.7841,27.6883,38.86,38.86,5.73,23,77
bonfim,BR,3.0833,-59.95,93.15,93.15,4.47,98,63
isla vista,US,34.4133,-119.861,74.89,81.07,6.91,1,45
saint anthony,US,45.0205,-93.218,75.34,78.06,5.01,1,68
eregli,TR,37.5133,34.0467,60.15,60.15,0.4,0,23
remedios,CU,22.4947,-79.5458,88.72,88.72,9.15,100,76
juegang,CN,32.3174,121.1855,75.94,76.98,5.86,2,94
buala,SB,-8.145,159.5921,83.1,83.1,3.24,87,71
jilin,CN,43.0,126.0,51.08,51.08,14.99,100,79
ler,SS,8.3018,30.1418,73.44,73.44,4.74,96,89
kungurtug,RU,50.5994,97.5228,22.21,22.21,2.59,6,83
mokrous,RU,51.2333,47.5167,43.54,43.54,6.13,0,56
ayan,RU,56.45,138.1667,41.05,41.05,6.62,69,57
palmer,US,42.1584,-72.3287,59.88,62.49,3.44,90,69
tiksi,RU,71.6872,128.8694,15.98,15.98,3.15,77,90
tilichiki,RU,60.4667,166.1,26.98,26.98,3.18,22,69
te anau,NZ,-45.4167,167.7167,54.21,54.21,2.93,56,60
naliya,IN,23.2667,68.8333,81.37,81.37,7.63,0,76
madisonville,US,37.3281,-87.4989,86.81,87.4,11.56,100,52
inuvik,CA,68.3499,-133.7218,31.01,32.04,5.75,75,80
ahipara,NZ,-35.1667,173.1667,57.61,57.61,10.33,99,72
pevek,RU,69.7008,170.3133,24.91,24.91,3.18,100,93
hilo,US,19.7297,-155.09,76.5,79.29,4.61,90,81
